"dzien","Ilosc zwierzakow","Ilosc roslinek","Srednia energia","Sredni czas zycia","Ilosc wolnych pol","Najpopularniejszy gen"
"436","214","130","53","40.82093214512051","1111","077171325773147"
"437","218","131","52","40.877814671918834","1119","077171325773147"
"438","219","133","52","40.93141210374676","1108","077171325773147"
"439","217","134","52","40.9825323425642","1107","077171325773147"
"440","219","136","51","41.035473940912595","1104","077171325773147"
"441","215","132","53","41.08747010364097","1108","077171325773147"
"442","218","130","52","41.14021861543577","1115","077171325773147"
"443","218","127","52","41.190546021428894","1111","077171325773147"
"444","216","124","53","41.24134842117767","1109","077171325773147"
"445","222","128","51","41.29361461767858","1115","077171325773147"
"446","218","126","53","41.34282046916162","1118","077171325773147"
"447","224","128","51","41.38878367965342","1116","077171325773147"
"448","225","127","51","41.432277219987036","1106","077171325773147"
"449","226","130","50","41.4751090682459","1099","077171325773147"
"450","226","125","51","41.517425752829126","1105","077171325773147"
"451","227","124","51","41.56131564000648","1109","077171325773147"
"452","227","126","50","41.6038612523331","1103","077171325773147"
"453","223","124","51","41.64592797926157","1104","077171325773147"
"454","226","123","51","41.68787510397362","1115","077171325773147"
"455","227","124","51","41.72665909583929","1098","077171325773147"
"456","230","125","50","41.76630448611949","1107","077171325773147"
"457","239","129","48","41.80463794590778","1101","077171325773147"
"458","239","134","47","41.84100825881871","1093","077171325773147"
"459","238","135","47","41.878029405089364","1088","077171325773147"
"460","236","132","48","41.91470129739535","1092","077171325773147"
"461","239","131","47","41.952657307596056","1094","077171325773147"
"462","242","125","47","41.987178045214385","1110","077171325773147"
"463","245","117","47","42.02156713721501","1111","077171325773147"
"464","249","116","46","42.05300226070129","1107","077171325773147"
"465","242","118","47","42.08431676057231","1096","077171325773147"
"466","243","118","47","42.11867106189139","1106","077171325773147"
"467","240","117","47","42.15350812407695","1099","077171325773147"
"468","241","117","47","42.19061119293094","1105","077171325773147"
"469","244","113","47","42.225645794838684","1097","077171325773147"
"470","248","113","46","42.2611724516564","1108","077171325773147"
"471","250","115","45","42.29550071156656","1113","077171325773147"
"472","248","115","46","42.33017231970727","1108","077171325773147"
"473","252","112","45","42.366239073400415","1106","077171325773147"
"474","256","110","44","42.400793124646185","1106","077171325773147"
"475","259","110","44","42.43377113399609","1108","077171325773147"
